=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.62,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.72,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.79,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.89,Duty:100.00,
Time:0:0:20,Ideal:91.14,Setpoint:95.50,Temperature:81.96,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.07,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.13,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.24,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.34,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.44,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.48,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.58,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.65,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.75,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.86,Duty:100.00,
Time:0:0:21,Ideal:93.14,Setpoint:95.50,Temperature:82.93,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.03,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.10,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.20,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.30,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.37,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.44,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.55,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.65,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.72,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.79,Duty:100.00,
Time:0:0:22,Ideal:95.14,Setpoint:95.50,Temperature:83.89,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:83.99,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.06,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.17,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.23,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.30,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.41,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.51,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.58,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.68,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.72,Duty:100.00,
Time:0:0:23,Ideal:95.50,Setpoint:95.50,Temperature:84.85,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:84.89,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:84.99,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.06,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.16,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.27,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.34,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.41,Duty:100.00,
